age,shock,perminc,nowinc
1,1,8.337716,0.130331
2,1,8.019967,0.147992
3,1,7.697754,0.166035
4,1,7.365095,0.183547
5,1,7.020618,0.199714
6,1,6.665533,0.21385
7,1,6.302609,0.22543
8,1,5.93556,0.234124
9,1,5.568629,0.239796
10,1,5.206258,0.2425
11,1,4.852843,0.242449
12,1,4.512547,0.239985
13,1,4.189172,0.235531
14,1,3.886074,0.229554
15,1,3.606137,0.222531
16,1,3.351763,0.21492
17,1,3.124904,0.207144
18,1,2.927097,0.199579
19,1,2.75952,0.192555
20,1,2.623064,0.186359
21,1,2.518418,0.181246
22,1,2.446169,0.177451
23,1,2.413529,0.370902
24,1,2.173008,0.370902
25,1,1.917133,0.370902
26,1,1.644927,0.370902
27,1,1.355345,0.370902
28,1,1.04728,0.370902
29,1,0.71955,0.370902
30,1,0.370902,0.370902
1,2,9.893051,0.202669
2,2,9.785084,0.241117
3,2,9.633955,0.280948
4,2,9.434609,0.320476
5,2,9.186037,0.358017
6,2,8.890137,0.392034
7,2,8.551017,0.421252
8,2,8.174439,0.444764
9,2,7.767304,0.462072
10,2,7.337153,0.473089
11,2,6.891727,0.478102
12,2,6.438578,0.4777
13,2,5.984786,0.472691
14,2,5.536761,0.464013
15,2,5.100143,0.452655
16,2,4.67977,0.439595
17,2,4.279707,0.425751
18,2,3.903289,0.411958
19,2,3.553169,0.398957
20,2,3.231335,0.387401
21,2,2.939098,0.377873
22,2,2.67707,0.370916
23,2,2.453356,0.377023
24,2,2.208865,0.377023
25,2,1.948769,0.377023
26,2,1.67207,0.377023
27,2,1.37771,0.377023
28,2,1.064561,0.377023
29,2,0.731424,0.377023
30,2,0.377023,0.377023
1,3,12.106269,0.315155
2,3,12.395023,0.392842
3,3,12.59098,0.475392
4,3,12.685298,0.559553
5,3,12.672969,0.641799
6,3,12.553088,0.718684
7,3,12.328745,0.787176
8,3,12.006588,0.844916
9,3,11.596116,0.890382
10,3,11.108809,0.922941
11,3,10.557214,0.942799
12,3,9.954083,0.95088
13,3,9.311648,0.948651
14,3,8.641084,0.93794
15,3,7.95219,0.920756
16,3,7.253265,0.899142
17,3,6.551165,0.875063
18,3,5.851502,0.850337
19,3,5.158908,0.826603
20,3,4.477304,0.805324
21,3,3.810037,0.787815
22,3,3.15971,0.775304
23,3,2.536602,0.389816
24,3,2.283816,0.389816
25,3,2.014894,0.389816
26,3,1.728806,0.389816
27,3,1.424458,0.389816
28,3,1.100683,0.389816
29,3,0.756242,0.389816
30,3,0.389816,0.389816
1,4,14.78559,0.490075
2,4,15.685377,0.640041
3,4,16.459957,0.804411
4,4,17.085434,0.976985
5,4,17.541598,1.150519
6,4,17.814555,1.317507
7,4,17.897946,1.470962
8,4,17.793052,1.605081
9,4,17.508021,1.715709
10,4,17.056444,1.800551
11,4,16.455581,1.859167
12,4,15.724462,1.892762
13,4,14.882114,1.903862
14,4,13.946057,1.89592
15,4,12.931165,1.87293
16,4,11.848943,1.839094
17,4,10.707202,1.798553
18,4,9.510148,1.755213
19,4,8.258867,1.71265
20,4,6.952289,1.674096
21,4,5.588757,1.642488
22,4,4.168544,1.620572
23,4,2.710608,0.416556
24,4,2.44048,0.416556
25,4,2.153111,0.416556
26,4,1.847399,0.416556
27,4,1.522173,0.416556
28,4,1.176188,0.416556
29,4,0.808119,0.416556
30,4,0.416556,0.416556
1,5,17.445822,0.762081
2,5,19.074173,1.042793
3,5,20.596139,1.361143
4,5,21.963028,1.705826
5,5,23.126873,2.062476
6,5,24.046796,2.415281
7,5,24.693093,2.748722
8,5,25.049249,3.049163
9,5,25.112066,3.30606
10,5,24.890201,3.512666
11,5,24.401553,3.66621
12,5,23.66997,3.767615
13,5,22.721748,3.82089
14,5,21.582269,3.832346
15,5,20.273006,3.809768
16,5,18.808978,3.761661
17,5,17.196604,3.69664
18,5,15.431794,3.623
19,5,13.498028,3.54846
20,5,11.36408,3.480088
21,5,8.980925,3.424367
22,5,6.277249,3.387388
23,5,3.074321,0.47245
24,5,2.767947,0.47245
25,5,2.442018,0.47245
26,5,2.095285,0.47245
27,5,1.72642,0.47245
28,5,1.33401,0.47245
29,5,0.916553,0.47245
30,5,0.47245,0.47245
